EKA 143 ,ACCOUNTING BEHAVIOR 
EKA 141 ,AKUNTANSI KOPERASI 
EKA 226,AKUNTANSI MANAJEMEN LANJUTAN
EKA 124,AKUNTANSI PEMERINTAHAN 
EKA 125,AKUTANSI BIAYA
EKA 121,AKUTANSI KEUANGAN I
EKA 221,AKUTANSI KEUANGAN II
EKA 122,AKUTANSI KEUANGAN LANJUTAN I
EKA 222,AKUTANSI KEUANGAN LANJUTAN II 
EKA 126,AKUTANSI MANAJEMEN 
EKA 140,AKUTANSI PERBANKAN 
EKA 136 ,ANALISA LAPORAN KEUANGAN 
EKA 113 ,ASPEK HUKUM DALAM EKONOMI 
UNG 101,BAHASA INDONESIA  
UNG 105,BAHASA INGGRIS 
EKA 114,BANK & LEMBAGA KEUANGAN LAINNYA
EKA 112,EKONOMI KOPERASI
EKA 130,HUKUM PAJAK
EKA 145,INTERNAL AUDIT
EKA 129,KOMPUTER AUDIT
EKA 109,MANAJEMEN 
EKA 146,MANAJEMEN AUDIT 
EKA 131,MANAJEMEN KEUANGAN
EKA 135,MANAJEMEN OPERASIONAL
EKA 134,MANAJEMEN PEMASARAN 
EKA 119,MATEMATIKA BISNIS 
EKA 116,MATEMATIKA EKONOMI
EKA 118,METODOLOGI PENELITIAN
EKA 120 ,null
EKA 120 ,null
EKA 143 ,null
EKA 143 ,null
EKA 142 ,null
EKA 142,null
EKA 118,null
EKA 136,null
EKA 114 ,null
EKA 124,null
EKA 117,null
EKA 143 ,null
EKA 143 ,null
EKA 117,null
EKA 117,null
EKA 117,null
EKA 117,null
EKA 131,null
EKA 131,null
EKA 124,null
EKA 114,null
EKA 120 ,null
EKA 226,null
EKA 226,null
EKA 128,PEMERIKSAAN AKUNTANSI I
EKA 228,PEMERIKSAAN AKUNTANSI II 
EKA 228,PEMERIKSAAN AKUNTANSI II 
UNG 102,PENDIDIKAN AGAMA 
UNG 101,PENDIDIKAN KEWARGANEGARAAN
EKA 138,PENGANGGARAN PERUSAHAAN  
EKA 110,PENGANTAR AKUNTANSI I
EKA 210,PENGANTAR AKUTANSI II
EKA 210,PENGANTAR APLIKASI KOMPUTER
EKA 108,PENGANTAR BISNIS
EKA 106,PENGANTAR EKONOMI MAKRO
EKA 107,PENGANTAR EKONOMI MIKRO
EKA 115,PENGANTAR EKONOMI PEMBANGUNAN 
EKA 137,PENGELOLAAN KEUANGAN NEGARA
EKA 111,PEREKONOMIAN INDONESIA
EKA 230,PERPAJAKAN 
EKA 230,PERPAJAKAN 
EKA 230,PERPAJAKAN 
EKA 144,SEMINAR AKUNTANSI MANAJEMEN
EKA 142 ,SEMINAR AKUTANSI KEUANGAN
EKA 147,SEMINAR AUDIT 
EKA 132,SISTEM INFORMASI AKUNTANSI I
EKA 232,SISTEM INFORMASI AKUNTANSI II
EKA 133,SISTEM INFORMASI MANAJEMEN
EKA 127,SISTEM PENGENDALIAN MANAJEMEN 
EKA 114 ,SOSIOLOGI POLITIK
EKA 114 ,SOSIOLOGI POLITIK 
EKA 117,STATISTIK I
EKA 217,STATISTIK II 
EKA 123,TEORI AKUNTANSI
EKA 207,TEORI EKONOMI MAKRO
EKA 206 ,TEORI EKONOMI MIKRO
TEST02,TEST02
